Voltage (V),Voltage R1 (V),Voltage R2 (V),Current (A)
1.95, 0.289, 1.712, 0.019
2.13, 0.316, 1.860, 0.020
2.27, 0.324, 1.943, 0.020
2.45, 0.347, 2.099, 0.021
2.55, 0.361, 2.185, 0.023
2.65, 0.385, 2.259, 0.024
2.75, 0.417, 2.325, 0.027
2.85, 0.455, 2.386, 0.030
2.95, 0.497, 2.443, 0.033
3.05, 0.541, 2.499, 0.036
3.15, 0.586, 2.553, 0.039
3.25, 0.640, 2.600, 0.043
3.35, 0.684, 2.654, 0.047
3.45, 0.733, 2.705, 0.052
3.55, 0.779, 2.756, 0.057
3.65, 0.830, 2.806, 0.061
3.75, 0.872, 2.851, 0.067
3.85, 0.930, 2.901, 0.072